scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,AR,31.723,31.396,36.45,47.393,93.869,150.771,175.55599999999998,198.975,212.444,272.625,346.549,384.156,426.468,432.078,435.064,435.064
S&P-Ambitious,BO,0.0,0.0,0.0,0.0,1.0,4.5,7.85,11.9,14.1,17.2,23.4,34.0,46.0,49.5,49.5,49.5
S&P-Ambitious,CL,112.2,148.4,205.5,218.5,248.6,272.621,285.873,286.769,292.598,318.593,326.947,333.498,335.00800000000004,335.00800000000004,333.615,325.057
S&P-Ambitious,CN,22.956000000000003,38.793,50.734,58.632999999999996,76.40535,94.327,110.59525000000001,121.82425,129.31025,140.39825,151.48625,157.03025,157.03025,157.03025,157.03025,157.03025
S&P-Ambitious,DE,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Ambitious,US,10.0,5.0,5.0,5.0,5.0,4.59,4.818,4.779,4.781,4.727,4.742,4.757,4.773,6.306,7.84,7.84
S&P-Baseline,AR,31.723,31.396,36.45,47.393,81.95,127.564,145.19,149.19,152.683,183.52100000000002,208.914,224.52100000000002,260.83299999999997,266.83299999999997,266.83299999999997,266.83299999999997
S&P-Baseline,BO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,CL,112.2,148.4,205.5,218.5,248.6,272.621,285.873,286.769,292.598,318.593,318.593,318.593,318.593,318.593,317.2,309.637
S&P-Baseline,CN,22.956000000000003,32.822,42.772999999999996,47.793,55.8728,70.1016,82.677,93.90599999999999,101.392,101.392,101.392,101.392,101.392,101.392,101.392,101.392
S&P-Baseline,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,US,10.0,5.0,5.0,5.0,5.0,4.59,4.818,4.779,4.781,4.727,4.742,4.757,4.773,6.306,7.84,7.84
S&P-Very Ambitious,AR,31.723,31.396,36.45,47.434,94.075,151.027,175.81199999999998,214.209,246.622,330.125,399.627,459.75600000000003,514.568,522.678,525.664,530.664
S&P-Very Ambitious,BO,0.0,0.0,0.0,0.0,1.0,4.5,7.85,11.9,14.1,17.2,23.4,34.0,46.0,49.5,49.5,49.5
S&P-Very Ambitious,CL,112.2,148.4,205.5,218.5,248.6,272.621,285.873,286.769,292.598,318.593,326.947,333.498,335.00800000000004,335.00800000000004,333.615,325.057
S&P-Very Ambitious,CN,22.956000000000003,38.793,50.734,58.632999999999996,76.40535,94.327,110.59525000000001,121.82425,129.31025,140.39825,151.48625,157.03025,157.03025,157.03025,157.03025,157.03025
S&P-Very Ambitious,DE,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Very Ambitious,US,10.0,5.0,5.0,5.0,5.0,4.59,4.818,4.779,4.781,4.727,4.742,4.757,4.773,6.306,7.84,7.84
