Impact,Lithium scenario,IAM scenario,Year,Country,Intensity,Total
Climate change,S&P-Ambitious,SSP2-2°C,2020,CN,33.833012162201996,0.7766706271955094
Climate change,S&P-Ambitious,SSP2-2°C,2020,US,2.795243458957944,0.027952434589579446
Climate change,S&P-Ambitious,SSP2-2°C,2025,World,14.14986403927628,8.247582192083504
Climate change,S&P-Ambitious,SSP2-2°C,2025,AR,14.74298129936578,2.2998608537571625
Climate change,S&P-Ambitious,SSP2-2°C,2025,BO,33.346316931071996,0.15005842618982396
Climate change,S&P-Ambitious,SSP2-2°C,2025,CL,3.2488340883501046,0.8857003980000937
Climate change,S&P-Ambitious,SSP2-2°C,2025,CN,36.84456574198403,4.865531235797146
Climate change,S&P-Ambitious,SSP2-2°C,2025,US,2.623237784530761,0.04643130878619446
Climate change,S&P-Ambitious,SSP2-2°C,2030,World,13.972024691767626,12.256805667182775
Climate change,S&P-Ambitious,SSP2-2°C,2030,AR,15.216940703739834,5.158071173405988
Climate change,S&P-Ambitious,SSP2-2°C,2030,BO,31.52019316300021,0.7375725200142049
Climate change,S&P-Ambitious,SSP2-2°C,2030,CL,3.073754106159188,1.0049546837464283
Climate change,S&P-Ambitious,SSP2-2°C,2030,CN,32.953092018892086,4.991940335846892
Climate change,S&P-Ambitious,SSP2-2°C,2030,DE,18.12456178669058,0.3215442257453203
Climate change,S&P-Ambitious,SSP2-2°C,2030,US,2.2851376716483687,0.042722933909137915
Climate change,S&P-Ambitious,SSP2-2°C,2035,World,14.530751777436159,14.648469030273112
Climate change,S&P-Ambitious,SSP2-2°C,2035,AR,16.173231829542438,6.9137978354201195
Climate change,S&P-Ambitious,SSP2-2°C,2035,BO,29.986223882833784,1.4843180822002724
Climate change,S&P-Ambitious,SSP2-2°C,2035,CL,2.9669422527122995,0.964425347839902
Climate change,S&P-Ambitious,SSP2-2°C,2035,CN,30.939000405030022,4.858358968351966
Climate change,S&P-Ambitious,SSP2-2°C,2035,DE,16.82322039767312,0.37307173553879897
Climate change,S&P-Ambitious,SSP2-2°C,2035,US,2.0293888714152706,0.05449720875298568
Climate change,S&P-Very Ambitious,SSP2-NDC,2020,World,10.65014765753683,1.8837874675174575
Climate change,S&P-Very Ambitious,SSP2-NDC,2020,AR,21.14995632905498,0.6709400646266113
Climate change,S&P-Very Ambitious,SSP2-NDC,2020,CL,3.638363712440175,0.4082244085357877
Climate change,S&P-Very Ambitious,SSP2-NDC,2020,CN,33.833012162201996,0.7766706271955094
Climate change,S&P-Very Ambitious,SSP2-NDC,2020,US,2.795243458957944,0.027952434589579446
Climate change,S&P-Very Ambitious,SSP2-NDC,2025,World,14.252498032924441,8.666125960434263
Climate change,S&P-Very Ambitious,SSP2-NDC,2025,AR,14.814069018240005,2.6838056277584683
Climate change,S&P-Very Ambitious,SSP2-NDC,2025,BO,33.34672527513038,0.15006026373808673
Climate change,S&P-Very Ambitious,SSP2-NDC,2025,CL,3.3012611708594326,0.8999931216608691
Climate change,S&P-Very Ambitious,SSP2-NDC,2025,CN,37.002259215381855,4.88635554204278
Climate change,S&P-Very Ambitious,SSP2-NDC,2025,US,2.5938687500770228,0.0459114768763633
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,World,15.510661882418116,16.693366137147475
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,AR,18.908904866077737,9.302821924917794
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,BO,31.427934056158726,0.7354136569141142
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,CL,3.1231886354305685,1.1647838320179242
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,CN,33.88387603338251,5.132941315761992
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,DE,17.854957251346466,0.31676122560468745
Climate change,S&P-Very Ambitious,SSP2-NDC,2030,US,2.1739269529440137,0.04064373831224129
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,World,16.603208291878943,20.781160761207975
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,AR,20.3604972903408,12.684956300833544
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,BO,29.984872645921328,1.4842511959731057
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,CL,3.0607133286974473,1.1418205322638837
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,CN,32.143204416269946,5.047455425287973
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,DE,16.73602246017767,0.3711380340769
Climate change,S&P-Very Ambitious,SSP2-NDC,2035,US,1.9192493802334305,0.05153952285678855
Climate change,S&P-Very Ambitious,SSP2-2°C,2020,World,10.65014765753683,1.8837874675174575
Climate change,S&P-Very Ambitious,SSP2-2°C,2020,AR,21.14995632905498,0.6709400646266113
Climate change,S&P-Very Ambitious,SSP2-2°C,2020,CL,3.638363712440175,0.4082244085357877
Climate change,S&P-Very Ambitious,SSP2-2°C,2020,CN,33.833012162201996,0.7766706271955094
Climate change,S&P-Very Ambitious,SSP2-2°C,2020,US,2.795243458957944,0.027952434589579446
Climate change,S&P-Very Ambitious,SSP2-2°C,2025,World,14.191866405065252,8.629259347788528
Climate change,S&P-Very Ambitious,SSP2-2°C,2025,AR,14.801552446311703,2.6815380504885056
Climate change,S&P-Very Ambitious,SSP2-2°C,2025,BO,33.346316931071996,0.15005842618982398
Climate change,S&P-Very Ambitious,SSP2-2°C,2025,CL,3.2488340883501046,0.8857003980000937
Climate change,S&P-Very Ambitious,SSP2-2°C,2025,CN,36.84456574198403,4.865531235797147
Climate change,S&P-Very Ambitious,SSP2-2°C,2025,US,2.623237784530761,0.04643130878619447
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,World,15.377090612926626,16.549609918107425
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,AR,18.92244225926716,9.30948206515652
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,BO,31.52019315353265,0.7375725197926639
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,CL,3.073754176611792,1.146347398904838
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,CN,32.95309201665146,4.9919403355074685
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,DE,18.124561785136336,0.32154422571774677
Climate change,S&P-Very Ambitious,SSP2-2°C,2030,US,2.285137671053204,0.042722933898010705
Climate change,S&P-Very Ambitious,SSP2-2°C,2035,World,16.460506030924122,20.602549581142224
