Impact,Lithium scenario,Source,Variation,2035 intensity var
Water scarcity,S&P-Ambitious,Reagents,-90.0,5.834014314267015
Water scarcity,S&P-Ambitious,Reagents,-80.0,6.214015302798536
Water scarcity,S&P-Ambitious,Reagents,-70.0,6.594016291330058
Water scarcity,S&P-Ambitious,Reagents,-60.0,6.974017279861579
Water scarcity,S&P-Ambitious,Reagents,-50.0,7.354018268393101
Water scarcity,S&P-Ambitious,Reagents,-39.99999999999999,7.734019256924622
Water scarcity,S&P-Ambitious,Reagents,-29.999999999999993,8.114020245456144
Water scarcity,S&P-Ambitious,Reagents,-19.999999999999996,8.494021233987665
Water scarcity,S&P-Ambitious,Reagents,-9.999999999999998,8.874022222519187
Water scarcity,S&P-Ambitious,Reagents,0.0,9.254023211050708
Water scarcity,S&P-Ambitious,Reagents,10.000000000000009,9.634024199582228
