scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,176.87900000000002,223.58900000000003,297.68399999999997,329.526,406.944,503.64135000000005,579.736,608.75325,633.41965,710.1918000000001,794.0799999999999,843.1179999999999,899.83325,934.14725,987.55525,1034.96125
S&P-Baseline,176.87900000000002,217.61800000000002,289.72299999999996,320.072,395.426,490.73735,540.606,560.59025,585.37225,636.8439999999999,693.845,722.732,754.4372500000001,776.75125,817.6592499999999,847.56525
S&P-Very Ambitious,176.87900000000002,223.58900000000003,297.68399999999997,329.526,406.944,503.64135000000005,579.736,623.7312499999999,667.59765,769.6918000000001,872.18,926.218,987.93325,1022.24725,1075.65525,1128.06125
