scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,AR,31.723,31.396,36.45,45.203,97.137,155.99699999999999,185.55599999999998,216.39499999999998,229.864,290.045,338.969,376.576,418.888,424.498,427.48400000000004,427.48400000000004
S&P-Ambitious,BO,0.0,0.0,0.0,0.0,1.0,4.5,7.85,11.9,14.1,17.2,23.4,34.0,46.0,49.5,49.5,49.5
S&P-Ambitious,CL,112.2,148.4,202.5,215.5,249.292,272.621,285.873,286.769,292.598,318.593,326.947,333.498,335.00800000000004,335.00800000000004,333.615,325.057
S&P-Ambitious,CN,22.956000000000003,38.793,50.734,58.633,76.40535,132.0556,110.59525000000001,121.82425,129.31025,140.39825,151.48625,157.03025,157.03025,157.03025,157.03025,157.03025
S&P-Ambitious,DE,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Ambitious,US,10.0,5.0,5.0,5.0,3.943,17.7,17.927999999999997,17.889,8.891,15.167,18.696,19.811,20.707,22.416,25.886,26.854
S&P-Baseline,AR,31.723,31.396,36.45,45.203,79.247,111.642,121.306,125.306,128.799,159.637,185.03,200.637,236.949,242.949,242.949,242.949
S&P-Baseline,BO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,CL,112.2,148.4,202.5,215.5,249.292,272.621,285.873,286.769,292.598,318.593,318.593,318.593,318.593,318.593,317.2,309.637
S&P-Baseline,CN,22.956000000000003,32.822,42.772999999999996,47.793,55.8728,70.1016,82.67699999999999,93.90599999999999,101.392,101.392,101.392,101.392,101.392,101.392,101.392,101.392
S&P-Baseline,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,US,10.0,5.0,5.0,5.0,3.888,4.59,4.818,4.779,4.781,4.727,4.742,4.757,4.773,6.306,7.84,7.84
S&P-Very Ambitious,AR,31.723,31.396,36.45,45.244,102.319,181.166,215.701,265.875,325.078,422.091,491.981,552.11,606.922,615.032,618.018,623.018
S&P-Very Ambitious,BO,0.0,0.0,0.0,0.0,1.0,4.5,7.85,11.9,14.1,17.2,23.4,34.0,46.0,49.5,49.5,49.5
S&P-Very Ambitious,CL,112.2,148.4,202.5,215.5,249.292,272.621,285.873,302.769,312.598,338.593,372.947,375.49800000000005,389.00800000000004,393.00800000000004,393.615,373.057
S&P-Very Ambitious,CN,22.956000000000003,38.793,50.734,58.632999999999996,76.40535,132.0556,110.59525000000001,121.82425,129.31025,140.39825,151.48625,157.03025,157.03025,157.03025,157.03025,157.03025
S&P-Very Ambitious,DE,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Very Ambitious,US,10.0,5.0,5.0,5.0,3.943,17.7,17.927999999999997,17.889,8.891,15.167,18.696,19.811,20.707,22.416,25.886,26.854
