Market scenario,Li scenario,Impact,Country,Intensity,Total,GLO intensity
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Climate change,CN,8.131177042674869,0.8244363027108903,1.2023244831003705
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,CN,6.432208027231729,0.6521744362970795,0.9511047602268616
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Climate change,US,1.317829471539527,0.010331783056869891,0.01506745358314529
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,US,3.4650686085477016,0.02716613789101398,0.03961799424679231
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,World,17.289806106031577,17.2321835047317,17.289806106031577
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,World,6.996860693997296,6.973541906519377,6.996860693997296
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,AR,19.492979533989143,8.480693647975452,8.50905219166723
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,AR,6.040423539379685,2.627970826736683,2.63675848357281
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,BO,40.51331443660057,2.0054090646117277,2.0121149406802803
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,BO,15.651043250160793,0.7747266408829593,0.7773172449310031
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,CL,3.8134168060128477,1.2395778267121182,1.2437228440205277
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,CL,5.503942444105176,1.7890950190534962,1.7950775638042649
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,CN,32.585150797385154,5.11685437600109,5.1339645965101095
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,CN,10.749875304283965,1.688055606500537,1.693700286129134
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,DE,16.69248169986706,0.3701724741762519,0.3714102918263361
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,DE,3.14533875586474,0.06975103225005648,0.06998427233367653
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,US,2.484184055409551,0.01947600299441088,0.019541128691055995
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,US,3.0539258675877634,0.023942778801888064,0.024022840924980794
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,World,11.170552135219134,11.133323477590483,11.170552135219134
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,World,5.274725538891781,5.257146197352039,5.274725538891781
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,AR,12.940542744758698,5.629964288705697,5.648790294559892
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,AR,4.183159133846309,1.8199419454077104,1.8260276390216599
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,BO,21.867397477392913,1.0824361751309493,1.0860557273562959
