Project name,LCI dataset,Impact,Year,Electricity,Heat,Reagents,Foreground,Other,Total
Salar de Cauchari-Olaroz,df_rotary_dryer_Salar de Cauchari-Olaroz,Climate change,2020,0.5074579334397354,1.7026011881640073,1.0848311048596997,0.0,1.9263399680343691,5.221230194497812
Salar de Cauchari-Olaroz,df_rotary_dryer_Salar de Cauchari-Olaroz,Water scarcity,2020,0.6240791924088204,0.027429782740944476,1.4777814472256987,0.16329495159523297,0.39339747994933494,2.6859828539200317
Chaerhan,df_rotary_dryer_Chaerhan,Climate change,2020,7.920273704466999,27.244652805915155,1.091293741094658,0.0,0.8494581766768277,37.10567842815364
Chaerhan,df_rotary_dryer_Chaerhan,Water scarcity,2020,0.7153715989332199,0.43892539986100904,1.5610208327064297,7.634358402682322,0.4951454808750311,10.84482171505801
Salar de Centenario,df_rotary_dryer_Salar de Centenario,Climate change,2020,1.9144616750849204,21.744303188544684,7.12254527592283,0.0,2.3111766513068024,33.09248679085923
Salar de Centenario,df_rotary_dryer_Salar de Centenario,Water scarcity,2020,2.3544329832149984,0.35031193238986114,9.001868236239252,0.5430355062345485,0.5572454989013286,12.80689415697999
East Taijinar,df_rotary_dryer_East Taijinar,Climate change,2020,3.5247725950758677,12.896122809994225,7.543322029843495,0.0,5.194839203351407,29.159056638264993
East Taijinar,df_rotary_dryer_East Taijinar,Water scarcity,2020,0.31836301386823174,0.20776318572885036,4.585033476336499,0.0,7.066023192864333,12.177182868797914
Salar del Hombre Muerto North,df_rotary_dryer_Salar del Hombre Muerto North,Climate change,2020,0.566509763210935,3.547090354168583,1.432999533032453,0.0,2.30925042482866,7.855850075240632
Salar del Hombre Muerto North,df_rotary_dryer_Salar del Hombre Muerto North,Water scarcity,2020,0.6967019967939446,0.05714545394054533,1.5955560368105455,0.21086675405466263,0.4516177549584174,3.0118879965581153
Kachi,df_rotary_dryer_Kachi,Climate change,2020,2.578758570148303,27.89536453565242,8.218810358161578,0.0,2.399839461461334,41.09277292542363
Kachi,df_rotary_dryer_Kachi,Water scarcity,2020,3.1713950257250234,0.4494087012340831,10.666863750471085,1.0944379905612716,0.6092249799620759,15.991330447953539
Lakkor Tso,df_rotary_dryer_Lakkor Tso,Climate change,2020,8.328568805169658,36.38249908851993,1.096442941138693,0.0,0.8487269808880337,46.65623781571631
Lakkor Tso,df_rotary_dryer_Lakkor Tso,Water scarcity,2020,0.7522494556746513,0.5861408135435769,1.579222654672276,11.930702733179185,0.4949864084090313,15.34330206547872
Maricunga,df_rotary_dryer_Maricunga,Climate change,2020,1.1714627303578258,3.5870474881089693,1.5358731843932312,0.0,1.0432354471895864,7.337618850049612
Maricunga,df_rotary_dryer_Maricunga,Water scarcity,2020,0.12048092871387935,0.05778918396408507,1.9820270269796936,15.157186782758423,0.40691356687016,17.72439748928624
Salar de Pastos Grandes,df_rotary_dryer_Salar de Pastos Grandes,Climate change,2020,1.0418481031678193,1.1895268308550044,1.0425146303744963,0.0,0.49398292468668037,3.7678724890840005
Salar de Pastos Grandes,df_rotary_dryer_Salar de Pastos Grandes,Water scarcity,2020,1.2812800431168148,0.0191638903823753,1.545949911412075,8.473438054014514,0.08570593438591381,11.405537833311692
Pozuelos,df_rotary_dryer_Pozuelos,Climate change,2020,2.226390865657699,32.745949960768606,13.597826999645214,0.0,2.3098601253555855,50.8800279514271
Pozuelos,df_rotary_dryer_Pozuelos,Water scarcity,2020,2.7380480663842817,0.5275541326494125,14.714273626314737,24.24385275720503,0.5569590872003556,42.78068766975382
Qinghai Yiliping,df_rotary_dryer_Qinghai Yiliping,Climate change,2020,7.920273704467001,25.99632575942269,1.0912937410946582,0.0,0.8494581766768277,35.857351381661175
Qinghai Yiliping,df_rotary_dryer_Qinghai Yiliping,Water scarcity,2020,0.71537159893322,0.4188142076963558,1.5610208327064297,10.81353881399763,0.4951454808750311,14.003890934208666
Sal de los Angeles,df_rotary_dryer_Sal de los Angeles,Climate change,2020,2.081699789940073,28.525306563137615,8.059618052130165,0.0,2.3102079913866502,40.9768323965945
Sal de los Angeles,df_rotary_dryer_Sal de los Angeles,Water scarcity,2020,2.5601048641358863,0.4595573919982085,8.226046741299262,0.6093709638305909,0.5570347658465501,12.412114727110499
Sal de Vida,df_rotary_dryer_Sal de Vida,Climate change,2020,0.435960935746353,1.0095894641828338,0.8119909003133118,0.0,0.026377343095465335,2.283918643337964
Sal de Vida,df_rotary_dryer_Sal de Vida,Water scarcity,2020,0.5361511383971466,0.016265006657222005,1.3588276204184926,0.07520930244362047,0.0006495056181557452,1.9871025735346373
Salar de Arizaro,df_rotary_dryer_Salar de Arizaro,Climate change,2020,2.078086349294463,24.363934941790898,21.32019178147797,0.0,2.310879227491741,50.073092300055066
Salar de Arizaro,df_rotary_dryer_Salar de Arizaro,Water scarcity,2020,2.5556610019527812,0.3925155502143668,21.75430235859006,1.7957031557701586,0.5571807940159423,27.05536286054331
Salar de Atacama,df_rotary_dryer_Salar de Atacama,Climate change,2020,0.5435213670380578,1.354147180288048,1.0127918607283364,0.0,0.7279033503856284,3.6383637584400708
Salar de Atacama,df_rotary_dryer_Salar de Atacama,Water scarcity,2020,0.05589931064779182,0.02181600906470514,1.5506981615713298,4.349130063912721,0.0815665875470957,6.059110132743644
Salar de Olaroz,df_rotary_dryer_Salar de Olaroz,Climate change,2020,0.7061825752306142,0.6888744815053851,5.44967933845473,0.0,0.20620366361599293,7.050940058806722
