scenario,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,DLE,42.757,57.578,74.321,83.32300000000001,104.494,142.76735,175.13400000000001,199.39125,212.50625,254.49099999999999,310.072,368.00800000000004,418.07525000000004,446.49425,475.80625000000003,480.80625000000003
S&P-Ambitious,Evaporitic,134.122,166.011,223.363,246.203,302.45,360.874,382.426,387.186,412.043,437.96000000000004,461.832,452.93399999999997,459.58200000000005,465.47700000000003,489.573,531.979
S&P-Ambitious,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Baseline,DLE,42.757,51.607,66.36,73.869,92.976,129.86335,158.18,178.38725,189.30225000000002,227.837,275.218,319.55400000000003,346.12125000000003,362.54025,386.85225,386.85225
S&P-Baseline,Evaporitic,134.122,166.011,223.363,246.203,302.45,360.874,382.426,382.203,396.07,409.007,418.627,403.17799999999994,408.31600000000003,414.211,430.80699999999996,460.71299999999997
S&P-Baseline,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Very Ambitious,DLE,42.757,57.578,74.321,83.32300000000001,104.494,142.76735,175.13400000000001,214.36925,246.68425,313.991,372.572,435.50800000000004,490.57525000000004,518.99425,548.30625,558.30625
S&P-Very Ambitious,Evaporitic,134.122,166.011,223.363,246.203,302.45,360.874,382.426,387.186,412.043,437.96000000000004,477.432,468.534,475.182,481.077,505.173,547.579
S&P-Very Ambitious,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
