scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,176.87900000000002,223.589,297.684,329.52599999999995,424.92935,545.145,629.86825,676.95325,696.93925,790.27365,902.23905,968.0912500000001,1024.80925,1035.62825,1040.69125,1033.10125
S&P-Baseline,176.87900000000002,217.618,289.723,318.68600000000004,391.4228,474.8766,518.558,534.644,551.454,608.233,633.641,649.263,685.591,693.124,693.265,685.702
S&P-Very Ambitious,176.87900000000002,223.589,297.684,329.567,430.11135,570.314,660.01325,742.43325,812.1532500000001,942.31965,1076.25105,1160.62525,1241.84325,1259.16225,1266.22525,1251.63525
