Scenario,LCI flow,Units,Reference flow,Chaerhan,East Taijinar,Fenix,Kachi,Lakkor Tso,Maricunga,Pozuelos,Qinghai Yiliping,Sal de Vida,Sal de los Angeles,Salar de Arizaro,Salar de Atacama,Salar de Cauchari-Olaroz,Salar de Centenario,Salar de Olaroz,Salar de Pastos Grandes,Salar de Tolillar,Salar de Uyuni,Salar del Hombre Muerto North,Salar del Rincon,Silver Peak,Tres Quebradas,Upper Rhine Graben,Zhabuye
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Chlorine', ('water',))",kilogram,1 kg Li2CO3,0.18002472210191997,0.18002472210191983,0.07906224071230561,0.07906224071230562,0.18002472210191997,0.07970373605436674,0.07906224071230564,0.18002472210191997,0.0013411835958916146,0.07906224071230564,0.07906224071230564,,0.023229428479107653,0.07906224071230564,0.031707711538461525,0.005565052863620317,0.07906224071230562,0.07906224071230564,,0.07906224071230564,0.03170771153846153,,0.5400812202818008,0.032028191505905766
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Heat, waste', ('air',))",megajoule,1 kg Li2CO3,2.9578427316060343,2.926130331785388,2.087150225415485,2.1359113435402137,2.9114913979245527,8.582097063149826,2.1449851482119575,2.917476995307812,1.6209366819907602,2.1022025705757272,2.1337983588164082,2.3853416607100613,3.5472362610969084,2.1098347455865545,1.7910920847267333,1.69402435931549,2.1158768841367923,2.123964867254326,8.623659375464367,2.1463207788388523,1.852414490485749,5.40646695419289,5.475540297238244,2.000052830440999
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Lithium', ('natural resource', 'in ground'))",kilogram,1 kg Li2CO3,0.2439634856265431,0.6261729464414602,0.4640245671599995,0.24396348562654313,0.24396348562654332,0.30910857981018136,0.24396348562654316,0.24396348562654324,0.06029753011200001,0.2439634856265431,0.243963485626543,0.3945560414399994,0.3474194975999999,0.243963485626543,0.3485597397857988,0.30794903999999973,0.2458940129279998,0.2439634856265431,0.49641984000000006,0.24396348562654302,0.08830332288000001,0.4335411599999998,0.23936290049261072,0.62617294644146
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Occupation, mineral extraction site', ('natural resource', 'land'))",square meter-year,1 kg Li2CO3,0.0,0.0,0.0,0.0,0.0,7.251726860793269e-10,0.0,0.0,3.396185111358795e-10,0.0,0.0,3.885622836240115e-10,5.151537661565887e-10,0.0,2.592836729128197e-09,4.7655849974398325e-09,0.0,0.0,5.9232521905439745e-09,0.0,4.057791537667699e-09,2.1723543146745633e-09,,2.3011056222065354e-09
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Sodium I', ('water',))",kilogram,1 kg Li2CO3,0.05479013281362782,0.054790132813627775,0.024062421086353883,0.024062421086353886,0.05479013281362782,0.024257658799155098,0.024062421086353893,0.05479013281362782,0.00040818631179310007,0.024062421086353893,0.024062421086353893,,0.0070698260588588505,0.024062421086353893,0.009650173076923074,0.0016937117411018352,0.024062421086353886,0.024062421086353893,,0.024062421086353893,0.009650173076923075,,0.1643725453031568,0.009747710458319144
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Transformation, from unspecified', ('natural resource', 'land'))",square meter,1 kg Li2CO3,0.0,0.0,0.0,0.0,0.0,3.6258634303966347e-11,0.0,0.0,8.49046277839699e-12,0.0,0.0,9.714057090600289e-12,1.2878844153914718e-11,0.0,6.482091822820493e-11,1.1913962493599584e-10,0.0,0.0,1.9744173968479915e-10,0.0,1.352597179222566e-10,4.344708629349126e-11,,7.670352074021785e-11
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Transformation, to mineral extraction site', ('natural resource', 'land'))",square meter,1 kg Li2CO3,0.0,0.0,0.0,0.0,0.0,3.6258634303966347e-11,0.0,0.0,8.49046277839699e-12,0.0,0.0,9.714057090600289e-12,1.2878844153914718e-11,0.0,6.482091822820493e-11,1.1913962493599584e-10,0.0,0.0,1.9744173968479915e-10,0.0,1.352597179222566e-10,4.344708629349126e-11,,7.670352074021785e-11
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Water', ('air',))",cubic meter,1 kg Li2CO3,0.11869612872031403,0.1026453595003336,0.19373173391809143,0.22800791470026494,0.1394020227960957,0.15157186782758422,0.2424385275720503,0.11869612872031408,0.028012058878854298,0.2256929495668855,0.21898818972806813,0.04592534386391469,0.033735411226175495,0.2011242615683513,0.09632929190223569,0.08737886310144893,0.20867286283043068,0.1949074968912904,0.07920575605120869,0.20465018434312918,0.027797439990193334,0.054557102399571324,,0.03033431848703167
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('Water, unspecified natural origin', ('natural resource', 'in ground'))",cubic meter,1 kg Li2CO3,0.24464547054697988,0.2540698500863934,0.28723670695876946,0.34194448690677565,0.26715187715109046,0.2506076152731363,0.3650396764386259,0.24464547054697994,0.04084591776339009,0.31985846850809646,0.3607136613489668,0.05836689285806867,0.06939605440325072,0.3043512518489888,0.15952215405495532,0.1061719320170651,0.3082906218474657,0.37248448452608934,0.0762495013202319,0.30827767986671195,0.08399016853682535,0.06576243194607118,0.445366529802849,0.08268331631396916
lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,"('diesel, burned in diesel-electric generating set, 10MW', 'diesel, burned in diesel-electric generating set, 10MW', 'GLO')",megajoule,1 kg Li2CO3,,,,,,,,,12.033321577715025,,57.275125130526796,,,,,,,,,,,,,
