scenario,project,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,#7,0.0,0.0,0.0,0.01820797144990077,0.0624164504206967,0.06770691088013325,0.06866228766197027,0.06538938395811439,0.06600047851373098,0.06168192874094011,0.056425045335482565,0.053143213642692956,0.04979367010498889,0.04796460086993779,0.050433633966302134,0.072279034601537
S&P-Ambitious,#14,0.07633466946330542,0.10095308803205882,0.1035695569798847,0.10879566407506541,0.097723519698042,0.08537821606585719,0.09442228876592104,0.10221875612163056,0.10414738475511454,0.09816080670038711,0.0925045335482571,0.09156369571044623,0.08579256212192647,0.08264114677851912,0.07817182886729629,0.07459119846274437
S&P-Ambitious,#15,0.0,0.0,0.0,0.0,0.0,0.013283261987920571,0.025747926642471747,0.03923428745554952,0.03770643995651224,0.03363035168809327,0.030077574047954865,0.02832818182033832,0.026542695549425406,0.0255677035927687,0.024184975979824927,0.02307719250358407
S&P-Ambitious,#1,0.05344896793853425,0.045843042367916136,0.040116365004501414,0.036239932509119166,0.0611361759849021,0.04939824738377816,0.04291436101949853,0.04086877564924705,0.03927727849933295,0.03503138166337601,0.0313305964134596,0.029508325050586044,0.02764845597781589,0.026632846159960328,0.025192514545388726,0.024038581154608444
S&P-Ambitious,#16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Ambitious,#21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008334877600933283,0.016057425636054702,0.0202520314686191,0.024155493744331007
S&P-Ambitious,#12,0.0,0.0,0.0,0.004206041404927078,0.0,0.0219969031534047,0.025356369105937877,0.030331254905004622,0.02915010609475093,0.038440319924842835,0.050246826516220026,0.059778109351241476,0.06159391198313687,0.05933138485394032,0.0561226827562306,0.05355200496636951
S&P-Ambitious,#17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010520350594398547,0.017678426981751073,0.01824226877590931,0.01757217612105586,0.016621854827869122,0.015860497192527738
S&P-Ambitious,#6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Ambitious,#9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012629857630719223,0.0211210549037598,0.02631724763248035,0.024786566055996908,0.0232243029472405,0.02237120539615141,0.021161347681560094,0.020192060330761173
