Project name,Impact,SA scenario,Total
Salar de Olaroz,Climate change,2035_BAT_Biomass_15CCS,2.505135751808488
Kachi,Climate change,2035_BAT_Biomass_15CCS,28.55303328110415
Fenix,Climate change,2035_BAT_Biomass_15CCS,20.76749780863549
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Biomass_15CCS,5.912617320175739
Salar de Tolillar,Climate change,2035_BAT_Biomass_15CCS,28.956228413346132
Maricunga,Water scarcity,2035_BAT_Biomass_15CCS,15.849131868130074
Tres Quebradas,Water scarcity,2035_BAT_Biomass_15CCS,7.463541460357569
Salar de Pastos Grandes,Water scarcity,2035_BAT_Biomass_15CCS,10.212778985243817
Salar de Arizaro,Water scarcity,2035_BAT_Biomass_15CCS,8.361800544563062
Upper Rhine Graben,Water scarcity,2035_BAT_Biomass_15CCS,0.9231239172105783
East Taijinar,Water scarcity,2035_BAT_Biomass_15CCS,6.602730511900555
Silver Peak,Water scarcity,2035_BAT_Biomass_15CCS,3.479266681301024
Salar del Rincon,Water scarcity,2035_BAT_Biomass_15CCS,35.39695359104809
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Biomass_15CCS,1.6237055426872644
Zhabuye,Water scarcity,2035_BAT_Biomass_15CCS,3.367942833972717
Salar de Atacama,Water scarcity,2035_BAT_Biomass_15CCS,5.445135290868419
Chaerhan,Water scarcity,2035_BAT_Biomass_15CCS,6.903920078181635
Sal de los Angeles,Water scarcity,2035_BAT_Biomass_15CCS,4.7827548023881725
Sal de Vida,Water scarcity,2035_BAT_Biomass_15CCS,0.45427849586622926
Pozuelos,Water scarcity,2035_BAT_Biomass_15CCS,15.658336593673193
Lakkor Tso,Water scarcity,2035_BAT_Biomass_15CCS,10.397346118677255
Salar de Uyuni,Water scarcity,2035_BAT_Biomass_15CCS,6.936803039415121
Qinghai Yiliping,Water scarcity,2035_BAT_Biomass_15CCS,9.302190887526267
Salar de Centenario,Water scarcity,2035_BAT_Biomass_15CCS,4.082146931065523
Salar de Olaroz,Water scarcity,2035_BAT_Biomass_15CCS,1.933928609817114
Kachi,Water scarcity,2035_BAT_Biomass_15CCS,5.56116420350231
Fenix,Water scarcity,2035_BAT_Biomass_15CCS,3.7697676232675255
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Biomass_15CCS,1.577429579433705
Salar de Tolillar,Water scarcity,2035_BAT_Biomass_15CCS,3.4351990689864014
Maricunga,Climate change,2035_BAT_NG_15CCS,5.150058608137036
Tres Quebradas,Climate change,2035_BAT_NG_15CCS,4.104039448668799
Salar de Pastos Grandes,Climate change,2035_BAT_NG_15CCS,10.878351501141916
Salar de Arizaro,Climate change,2035_BAT_NG_15CCS,39.9621639967777
Upper Rhine Graben,Climate change,2035_BAT_NG_15CCS,3.1104028280158684
