Project name,LCI dataset,Technology,Status,Impact,Scenario,Electricity,Heat,Reagents,Direct emissions,Other,Total_contrib,Total
Salar de Arizaro,df_rotary_dryer_Salar de Arizaro,DLE,Announced,Climate change,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,1.9759714826442927,11.580098424744321,15.317199242848083,0.0,0.5800855143479752,29.45335466458467,29.453357159403467
Salar de Arizaro,df_rotary_dryer_Salar de Arizaro,DLE,Announced,Water scarcity,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.04320673751517684,0.25533285348621604,6.791702819923651,0.7064489964343316,0.3377606259664662,8.134452033325841,8.134452678301802
Salar de Tolillar,df_rotary_dryer_Salar de Tolillar,DLE,Announced,Climate change,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,2.4105722654922173,11.841540136417388,6.262495753966742,0.0,0.5803929630439182,21.095001118920266,21.09500159144212
Salar de Tolillar,df_rotary_dryer_Salar de Tolillar,DLE,Announced,Water scarcity,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.10106527746549097,0.4943250491630681,2.334807155365423,0.24585583598708619,0.3378363527163168,3.513889670697385,3.5138897591323133
Salar del Rincon,df_rotary_dryer_Salar del Rincon,DLE,Operating,Climate change,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.30115938931652386,1.9755764483927765,7.560894292801187,0.0,0.5799677654798835,10.41759789599037,10.417598166342634
Salar del Rincon,df_rotary_dryer_Salar del Rincon,DLE,Operating,Water scarcity,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,1.0953341697852819,6.598721387645208,3.249257952298913,0.8392173122368556,0.3377316236021796,12.120262445568438,12.12026271255074
Salar de Uyuni,df_rotary_dryer_Salar de Uyuni,DLE,Announced,Climate change,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.21177986941969304,0.7181677433223193,14.293253892678042,0.0,0.5792771973231654,15.802478702743219,15.802479506381447
Salar de Uyuni,df_rotary_dryer_Salar de Uyuni,DLE,Announced,Water scarcity,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.05012892670664312,0.14892115380811274,4.618444788887638,1.626993966707383,0.33756153186736776,6.782050367977145,6.782050727679157
Upper Rhine Graben,df_rotary_dryer_Upper Rhine Graben,Geothermal,Announced,Climate change,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.06317078099858535,0.05388449848496446,1.5474012410351248,0.0,0.6532896482334245,2.317746168752099,2.317746361439987
Upper Rhine Graben,df_rotary_dryer_Upper Rhine Graben,Geothermal,Announced,Water scarcity,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,0.12994451942984062,0.04397499109320013,0.39110525947233765,0.0,0.3805995288584516,0.94562429885383,0.9456243597985476
