scenario,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,Chemical-based,112.2,148.4,205.5,224.5,284.919,332.83399999999995,351.06899999999996,361.433,372.262,432.624,472.509,503.06,510.57,510.18,511.77299999999997,503.21500000000003
S&P-Ambitious,DLE,42.757,57.578,74.321,83.32300000000001,108.33655,144.6274,177.03725,206.26725,224.42225,264.42425000000003,324.10525,356.66825,404.98025,414.48025,414.48025,414.48025
S&P-Ambitious,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Ambitious,Ion-exchanger,21.922,17.611,17.863,21.703,31.6188,49.3476,56.586,56.547,56.549,56.495000000000005,56.510000000000005,53.713,53.729,55.262,56.79600000000001,56.79600000000001
S&P-Baseline,Chemical-based,112.2,148.4,205.5,224.5,274.0,312.42699999999996,325.679,326.575,332.404,368.399,376.399,378.399,378.399,378.399,377.006,369.443
S&P-Baseline,DLE,42.757,51.607,66.36,72.483,85.804,113.102,136.293,151.522,162.501,183.339,200.732,217.151,253.463,259.46299999999997,259.46299999999997,259.46299999999997
S&P-Baseline,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,Ion-exchanger,21.922,17.611,17.863,21.703,31.6188,49.3476,56.586,56.547,56.549,56.495000000000005,56.510000000000005,53.713,53.729,55.262,56.79600000000001,56.79600000000001
S&P-Very Ambitious,Chemical-based,112.2,148.4,205.5,224.5,284.919,332.83399999999995,351.06899999999996,361.433,372.262,432.624,488.10900000000004,518.66,526.17,525.78,527.3729999999999,518.815
S&P-Very Ambitious,DLE,42.757,57.578,74.321,83.364,108.54255,144.8834,177.29325,221.50125,258.60025,321.92425000000003,361.58325,416.66825,477.48025,489.48025,489.48025,494.48025
S&P-Very Ambitious,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Very Ambitious,Ion-exchanger,21.922,17.611,17.863,21.703,31.6188,49.3476,56.586,56.547,56.549,56.495000000000005,56.510000000000005,53.713,53.729,55.262,56.79600000000001,56.79600000000001
