scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,176.87900000000002,223.58900000000003,294.68399999999997,324.336,427.77735,582.8735999999999,629.9782499999999,676.95325,696.93925,790.27365,877.23905,943.0912500000001,999.80925,1010.62825,1015.6912500000001,1008.10125
S&P-Baseline,176.87900000000002,217.61800000000002,286.72299999999996,313.496,388.2998,458.95459999999997,494.674,510.76,527.5699999999999,584.349,609.757,625.379,661.707,669.24,669.381,661.818
S&P-Very Ambitious,176.87900000000002,223.58900000000003,294.68399999999997,324.377,432.95935000000003,608.0426,660.12325,742.43325,812.15325,942.31965,1076.25105,1160.62525,1241.8432500000001,1259.16225,1266.22525,1251.63525
