scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,176.87900000000002,223.58900000000003,297.68399999999997,329.526,424.87435,526.809,606.86825,646.42325,675.40925,762.41365,870.86505,935.61725,991.4552500000001,1002.09825,1005.2252500000001,996.6672500000001
S&P-Baseline,176.87900000000002,217.61800000000002,289.72299999999996,318.686,391.4228,474.87659999999994,518.558,534.644,551.454,608.2330000000001,633.641,649.263,685.591,693.124,693.265,685.702
S&P-Very Ambitious,176.87900000000002,223.58900000000003,297.68399999999997,329.567,425.08034999999995,527.0649999999999,607.12425,661.6572500000001,709.58725,819.91365,923.94305,1011.21725,1079.5552500000001,1092.6982500000001,1095.82525,1092.26725
